time,data
1/3/2024 19:20,6.07
1/3/2024 19:25,6.43
1/3/2024 19:30,6.51
1/3/2024 19:35,6.7
1/3/2024 19:40,6.18
1/3/2024 19:45,5.97
1/3/2024 19:50,6.24
1/3/2024 19:55,6.59
1/3/2024 20:00,6.74
1/3/2024 20:05,6.36
1/3/2024 20:10,5.92
1/3/2024 20:15,6.13
1/3/2024 20:20,6.73
1/3/2024 20:25,5.92
1/3/2024 20:30,5.32
1/3/2024 20:35,5.48
1/3/2024 20:40,6.55
1/3/2024 20:45,6.11
1/3/2024 20:50,5.78
1/3/2024 20:55,4.98
1/3/2024 21:00,5.48
1/3/2024 21:05,5.51
1/3/2024 21:10,4.88
1/3/2024 21:15,4.47
1/3/2024 21:20,4.41
1/3/2024 21:25,5.32
1/3/2024 21:30,5.14
1/3/2024 21:35,4.65
1/3/2024 21:40,4.3
1/3/2024 21:45,4.51
1/3/2024 21:50,5.02
1/3/2024 21:55,4.62
1/3/2024 22:00,4.5
1/3/2024 22:05,4.44
1/3/2024 22:10,5.06
1/3/2024 22:15,5.03
1/3/2024 22:20,4.56
1/3/2024 22:25,4.36
1/3/2024 22:30,4.55
1/3/2024 22:35,4.3
1/3/2024 22:40,4.05
1/3/2024 22:45,3.8
1/3/2024 22:50,3.99
1/3/2024 22:55,4.42
1/3/2024 23:00,4.2
1/3/2024 23:05,4.39
1/3/2024 23:10,3.69
1/3/2024 23:15,3.84
1/3/2024 23:20,4.14
1/3/2024 23:25,4.03
1/3/2024 23:30,3.91
1/3/2024 23:35,3.89
1/3/2024 23:40,4.28
1/3/2024 23:45,3.71
1/3/2024 23:50,3.94
1/3/2024 23:55,3.83
1/4/2024 0:00,3.17
1/4/2024 0:05,3.16
1/4/2024 0:10,3.46
1/4/2024 0:15,3.84
1/4/2024 0:20,3.93
1/4/2024 0:25,4.05
1/4/2024 0:30,3.88
1/4/2024 0:35,3.43
1/4/2024 0:40,3.71
1/4/2024 0:45,3.17
1/4/2024 0:50,3.59
1/4/2024 0:55,3.05
1/4/2024 1:00,3.47
1/4/2024 1:05,3.42
1/4/2024 1:10,3.65
1/4/2024 1:15,3.94
1/4/2024 1:20,3.58
1/4/2024 1:25,3.48
1/4/2024 1:30,3.14
1/4/2024 1:35,3.38
1/4/2024 1:40,3.13
1/4/2024 1:45,3.59
1/4/2024 1:50,3.06
1/4/2024 1:55,3.7
1/4/2024 2:00,3.45
1/4/2024 2:05,3.38
1/4/2024 2:10,3.64
1/4/2024 2:15,3.41
1/4/2024 2:20,3.62
1/4/2024 2:25,3.35
1/4/2024 2:30,3.27
1/4/2024 2:35,3.93
1/4/2024 2:40,4.03
1/4/2024 2:45,4.11
1/4/2024 2:50,3.25
1/4/2024 2:55,3.59
1/4/2024 3:00,3.28
1/4/2024 3:05,3.63
1/4/2024 3:10,3.35
1/4/2024 3:15,3.75
1/4/2024 3:20,3.79
1/4/2024 3:25,3.65
1/4/2024 3:30,3.85
1/4/2024 3:35,3.16
1/4/2024 3:40,3.14
1/4/2024 3:45,3
1/4/2024 3:50,3.38
1/4/2024 3:55,3.57
1/4/2024 4:00,3.65
1/4/2024 4:05,3.86
1/4/2024 4:10,3.64
1/4/2024 4:15,3.85
1/4/2024 4:20,3.53
1/4/2024 4:25,3.24
1/4/2024 4:30,2.82
1/4/2024 4:35,3.46
1/4/2024 4:40,3.59
1/4/2024 4:45,3.5
1/4/2024 4:50,3.56
1/4/2024 4:55,3.24
1/4/2024 5:00,3.87
1/4/2024 5:05,3.76
1/4/2024 5:10,3.35
1/4/2024 5:15,3.29
1/4/2024 5:20,3.07
1/4/2024 5:25,3.6
1/4/2024 5:30,3.76
1/4/2024 5:35,3.33
